,src_name,popularity,relevance_query,score_rank,score_mean
4800,old-emploi.lagazettedescommunes,0.06666666666666667,0.16666666666666669,0.7646750040970175,0.385870001638807
4069,liveconsent,0.06666666666666667,0.0,0.9305463178509404,0.3855518604737095
3088,hellofuture.orange,0.24444444444444444,0.09090909090909091,0.7502780354531762,0.38536373943379576
945,bordeaux-metropole,0.1111111111111111,0.15,0.7574118163307132,0.38518694875450754
2337,ena,0.06666666666666667,0.08333333333333334,0.845790683874796,0.3849829402165851
3533,itforbusiness,0.13333333333333333,0.08333333333333334,0.8121922851983897,0.3848769140793559
3468,invivoo,0.044444444444444446,0.25,0.6890000000000001,0.3844888888888889
263,agglo-porteduhainaut,0.022222222222222223,0.25,0.7,0.3844444444444444
1292,cetic.be,0.022222222222222223,0.25,0.7,0.3844444444444444
3969,lesbricodeurs,0.022222222222222223,0.25,0.7,0.3844444444444444
3485,ipotetu,0.022222222222222223,0.25,0.7,0.3844444444444444
6730,www4.fsa.ulaval.ca,0.022222222222222223,0.25,0.7,0.3844444444444444
3706,keyence,0.022222222222222223,0.25,0.7,0.3844444444444444
3794,lafrenchtech-onelse,0.022222222222222223,0.25,0.7,0.3844444444444444
853,blog.impulsebyingeniance.io,0.022222222222222223,0.25,0.7,0.3844444444444444
1691,cria.ac-amiens,0.022222222222222223,0.25,0.7,0.3844444444444444
5082,pidforum,0.022222222222222223,0.25,0.7,0.3844444444444444
5135,plein-soleil.info,0.022222222222222223,0.25,0.7,0.3844444444444444
6585,vof.paris-sorbonne,0.022222222222222223,0.25,0.7,0.3844444444444444
318,akiani,0.022222222222222223,0.25,0.7,0.3844444444444444
4411,meteocontact,0.022222222222222223,0.25,0.7,0.3844444444444444
658,autobixen.dk,0.022222222222222223,0.25,0.7,0.3844444444444444
6761,yearbook-ers.jle,0.022222222222222223,0.25,0.7,0.3844444444444444
5343,racorsm,0.022222222222222223,0.25,0.7,0.3844444444444444
5587,saintehelenedulac,0.022222222222222223,0.25,0.7,0.3844444444444444
6337,u-paris,0.022222222222222223,0.25,0.7,0.3844444444444444
2078,drome-ardeche.fff,0.022222222222222223,0.25,0.7,0.3844444444444444
6212,theses.vet-alfort,0.022222222222222223,0.25,0.7,0.3844444444444444
2559,eyrolles,0.26666666666666666,0.08333333333333334,0.744175796002455,0.3843369850676487
1295,cfa-eve.focaliz,0.044444444444444446,0.0,0.9382440476190477,0.384186507936508
871,blog.reeport.io,0.044444444444444446,0.0,0.9381443298969072,0.3841466208476518
3298,immersivelearning.news,0.06666666666666667,0.0,0.9269371345029239,0.3841081871345029
1166,carrieres-publiques,0.08888888888888889,0.1875,0.7278412502215957,0.3839142778664161
4023,library.html.espaciotibet.cl,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
4979,parrot,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
2150,ebmfrance.iscientia,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
1411,citizenlab.co,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
2624,financierterritorial,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
3871,le-m-verbatem,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
718,barrys,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
3104,helpingwritersbecomeauthors,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
3618,jobphoning,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
5319,quantmetry,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
3014,guillaumemoreau.github.io,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
1195,cc-creonnais,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
6696,wncinc,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
706,bakertilly.be,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
5595,salusfreshfoods,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
4501,monprojet3d,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
6177,teses.usp.br,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
4409,metalblog.ctif,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
8,1819.brussels,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
5884,soluris,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
2707,formations.delsolavocats,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
5107,pinterest.jp,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
4528,mouse4all,0.022222222222222223,0.0,0.9479166666666666,0.38361111111111107
166,adhenia-formation,0.044444444444444446,0.0,0.9363127902068384,0.3834140049716243
2005,dnb,0.06666666666666667,0.16666666666666669,0.758405595604525,0.38336223824181004
3364,infos.isidoor,0.06666666666666667,0.25,0.6745395460657675,0.38314915175964037
4650,nexity,0.06666666666666667,0.25,0.673911928457383,0.38289810471628655
3247,ie.linkedin,0.044444444444444446,0.125,0.8092885375494071,0.38260430390865174
4818,onlyengineerjobs,0.044444444444444446,0.25,0.6837118026352677,0.38237360994299596
6402,univ-paris8,0.044444444444444446,0.25,0.6836890243902438,0.38236449864498645
1140,careers.societegenerale,0.08888888888888889,0.25,0.6614041406753005,0.38233943404789805
4727,nrpsport.no,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
3027,habilec,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
2549,expertise.boschrexroth,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
1810,datascience,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
1760,dalia.educationetformation,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
123,acoss,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
847,blog.fastandfresh,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
3428,insystem,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
2245,eftinijaimpex.mk,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
2951,graphia.app,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
2643,fiteco,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
5067,phillypolicefoundation,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
712,bankobserver-wavestone,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
5976,store.playstation,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
1298,cfaar,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
6489,varian,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
4309,marketplace.matrix42,0.022222222222222223,0.25,0.6946564885496184,0.3823070398642918
13,2019.openislamabad,0.044444444444444446,0.0,0.9333578792341679,0.38223204058255605
3285,illucity,0.044444444444444446,0.0,0.9333578792341679,0.38223204058255605
3280,iledefrance,0.13333333333333333,0.20833333333333331,0.6805110501092858,0.3822044200437143
4497,moneyvox,0.06666666666666667,0.25,0.6708380679962905,0.38166856053184955
2104,dumas.ccsd.cnrs,0.13333333333333333,0.20833333333333331,0.6788562771573153,0.3815425108629261
3945,lemondeinformatique,0.24444444444444444,0.11363636363636363,0.7178549266564356,0.3814854050060086
4011,lexpansion.lexpress,0.06666666666666667,0.33333333333333337,0.5866755793226381,0.38133689839572193
1919,di.ens,0.044444444444444446,0.0,0.930994884643491,0.3812868427462853
451,anr,0.044444444444444446,0.125,0.8059637995049505,0.3812744086908691
2183,ecologique-solidaire.gouv,0.06666666666666667,0.08333333333333334,0.8364646464646465,0.3812525252525253
6498,veille-collectivite.calvados,0.06666666666666667,0.0,0.9196242070711446,0.3811830161617912
2945,grand-dax,0.044444444444444446,0.25,0.680491169977925,0.38108535688005896
840,blog.carriere-info,0.06666666666666667,0.08333333333333334,0.8354690775681343,0.38085429769392043
2291,emploi-collectivites,0.13333333333333333,0.125,0.7600568559344957,0.38068940904046494
5762,siecledigital,0.08888888888888889,0.125,0.7819617102230357,0.3805624618669921
2949,grandlyon,0.044444444444444446,0.25,0.6791423001949317,0.38054580896686163
5875,softeaminstitute,0.1111111111111111,0.1,0.7957125713721458,0.38050725077108055
623,atos,0.17777777777777778,0.15625,0.7058949635154106,0.3804135409617198
6767,yext,0.044444444444444446,0.0,0.9286681245444133,0.38035613870665425
